pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url
2025-09-05	CW-VAE: Shape Generation via Conformal Welding Priors in Variational Autoencoders	Mathematics, Computation and Geometry of Data	This paper presents CW-VAE (Conformal Welding Variational Autoencoder), a framework using conformal welding as a geometric prior for 2D simply-connected shapes.	Chenran Lin, Oscar Y.L. Chau and Lok Ming Lui (2025). "CW-VAE: Shape Generation via Conformal Welding Priors in Variational Autoencoders" <i>Mathematics, Computation and Geometry of Data</i>. 4(2).	CW-VAE	https://oscarcyl.github.io/files/CW_VAE_paper.pdf
2026-06-01	How geometry of subduction zones correlates with earthquake dynamics	ArXiv Preprint	Combines differential surface geometry and global seismic data to show that flatter subduction zones generate rarer, larger earthquakes while variable curvature zones produce frequent, smaller events.	Oscar Y. L. Chau, Rebecca Bendick, Gary P. T. Choi, L. Mahadevan. (2026). "How geometry of subduction zones correlates with earthquake dynamics" <i>ArXiv Preprint</i>. 	Geometric_analysis_of_subduction_zones	https://oscarcyl.github.io/files/Geometric_analysis_of_subduction_zones.pdf	
